Ký hiệu,"Chiều dày tiết diện, mm — nhỏ nhất","Giới hạn chảy, MPa — nhỏ nhất","Giới hạn bền kéo, MPa — nhỏ nhất","Độ giãn dài tương đối, % — nhỏ nhất"
1,2,3,4,5
C245,≥ 4; ≤ 10,245,370,25
C245,> 10; ≤ 20,245,370,24
C245,> 20; ≤ 40,235,370,24
C255,≥ 4; ≤ 10,255,380,25
C255,> 10; ≤ 20,245,370,25
C255,> 20; ≤ 40,235,370,24
C255,> 40; ≤ 60,225,370,23
C345,≥ 4; ≤ 10,345,480,21
C345,> 10; ≤ 20,325,470,21
C345,> 20; ≤ 40,305,460,21
C345,> 40; ≤ 60,285,450,20
C345К,≥ 4; ≤ 10,345,470,20
C355,≥ 4; ≤ 10,355,470,21
C355,> 10; ≤ 20,355,470,21
C355,> 20; ≤ 40,345,470,21
C355,> 40; ≤ 60,335,470,21
C355-1,≥ 8; ≤ 20,355,480,21
C355-1,> 20; ≤ 40,345,480,21
C390 C390-1,≥ 4; ≤ 8,390,520,20
C390 C390-1,> 8; ≤ 10,390,520,20
C390 C390-1,> 10; ≤ 20,380,500,20
C390 C390-1,> 20; ≤ 40,370,490,20
C390 C390-1,> 40; ≤ 60,360,510,19
C440,≥ 4; ≤ 10,440,590,19
C440,> 10; ≤ 20,435,580,18
C440,> 20; ≤ 40,430,570,18
C440,> 40; ≤ 60,420,560,18
